file_name,answer
1.wav,옆자리 의자 따뜻하게 부탁해
2.wav,어느 방 콘센트에 선풍기 플러그 꽂혀 있는지 알려 줘
3.wav,내부 순환 모드 쓰고 싶어
4.wav,엔진 오일 새로 언제 교체하면 좋아
5.wav,보일러 온도 너무 낮을 거 같아서 올리고 싶어
6.wav,블랙박스 잘 작동되니
7.wav,안방 전원 스위치 올려서 가장 밝게 켜 줘
8.wav,뒷자리에 아무도 안타니까 잠가 놔
9.wav,전체 차 문 확인해서 알려 줘
10.wav,언제 수리 센터 가서 엔진 오일 교체해야 하는지 알려 줘
11.wav,식료품 지금 언제 배송 예정일인지 알 수 있어
12.wav,로봇 청소기 사 단계로 흡입해
13.wav,선풍기 돌려 봐
14.wav,식료품 주문 내역 다시 보자
15.wav,몇 번째 콘센트에 컴퓨터 플러그 꽂혀있는지 위치 좀 말해 줘
16.wav,집에 가는 길이야 십 분 뒤에 현관문 잠금 해제해 줘
17.wav,자리 전체 통풍 켜 줘
18.wav,지금 지정된 안방 조명 제일 밝게 설정해
19.wav,엔진 오일 교체 예상일 아직 멀었지
20.wav,도대체 얼마나 더 가야 집에 도착이니
21.wav,삼 단계로 로봇 청소기 새로 변경해 줘
22.wav,전기는 아홉 시에 연결되게 전원 타이머를 설정해요
23.wav,가스 전원 꺼서 밸브 잠가 줘
24.wav,현관문 열림 상태인지 확인해 봐
25.wav,안방 조명 각각 위치 좀 알려 줘
26.wav,내가 주문한 식료품 중에 품절된 거 있나
27.wav,밤에 열 시 이후로 가스 밸브 차단해 줘
28.wav,선풍기 삼십 분 후에 꺼지게 부탁해
29.wav,십팔 일에 식료품 어떤 거 주문했는지 말해 줘 봐
30.wav,전체 거실 전등 일 단으로 조절해 주세요
31.wav,보일러 가장 뜨겁게 부탁해
32.wav,비상등 꺼 줄 수 있어
33.wav,삼십 분 뒤에 통풍 시트 켜 줄래
34.wav,어제 홈 카메라 기록된 거 있어
35.wav,거실의 조명을 전부 최저 수준으로 낮추세요
36.wav,컴퓨터 플러그 위치 어디로 나와
37.wav,에어컨 온도를 올릴까
38.wav,켜져 있는 거실 조명 리포트해 줘
39.wav,엔진 오일 갈려면 얼마나 남았어
40.wav,히터 그만해도 되니까 끌래
41.wav,히터 온도 낮추어서 틀었으면 해
42.wav,내가 세 시에 컴퓨터 할 수 있게 미리 켜 줄래
43.wav,엔진 오일 갈려면 얼마나 남았어
44.wav,차 창문 전부 조금만 열어 줘
45.wav,너무 건조하니깐 히터 꺼 봐
46.wav,에어컨 바람 세기 최솟값으로 설정
47.wav,에어컨 바람 아래쪽으로 쐬게 설정
48.wav,계속 불 꺼져 있는 거실 조명 어떤 건지 파악해 줄래
49.wav,어제 식료품 주문 내역에서 당근 가격 조회해 줘
50.wav,비상등 점멸 부탁해
51.wav,온풍기 틀어 줘
52.wav,라이트 전부 풀로 해 줘
53.wav,시동 이만 끄렴
54.wav,나올 때 조명 끄는 걸 깜박했어 대신 꺼 줘
55.wav,전등들 모두 한 단계 높여 줘
56.wav,운전자 일로 세팅된 거 맞아
57.wav,안방 조명 제일 희미하게 비춰 줘
58.wav,통풍 시트 풍량 높여 줘
59.wav,아기가 깨니까 로봇 청소기 일 단계로만 돌려 줘
60.wav,가스 밸브 잠금 타이머 한 시간으로 맞춰
61.wav,지금 에어컨 너무 세니깐 최소로 만들어 줘
62.wav,옆자리 열선에 불 넣어 줘
63.wav,홈 카메라 앞으로 얼마나 더 저장할 수 있어
64.wav,경적 인제 그만 울려
65.wav,혹시 내 식료품은 어디쯤 오고 있어
66.wav,내 차량 위치 한번 검색 부탁해
67.wav,월요일 시동 켜는 시간은 일곱 시야
68.wav,월요일 시동 켜는 시간은 일곱 시야
69.wav,지금 전동 시트 위치 운전자 일 번으로 저장해 줘
70.wav,에어컨은 이제 꺼도 돼
71.wav,차 운전 정지
72.wav,언제 차 세운 곳이 기억이 안 나니깐 도와줘
73.wav,전원 타이머 온오프 시간 설정해 줘
74.wav,공포 영화 볼 거니까 전체 조명 꺼 놔
75.wav,보일러 오후 아홉 시에 자동 종료시켜 줘
76.wav,안방 밝기 꺼지기 직전까지 설정해 줘
77.wav,더우니까 히터 꺼도 돼
78.wav,회사 가려면 얼마나 더 가야 하는지 알려 줄래
79.wav,집 최대 온도로 설정해 줘
80.wav,선풍기 꺼지려면 얼마나 남았어
81.wav,조수석에 음식 냄새 나니까 창문 내려
82.wav,내일 출근 전에 미리 시동 켜 줘
83.wav,조수석 문 옆 차에 안 닿게 조심히 열어 줘
84.wav,집 거실에만 조명 켜 놔
85.wav,시트 더 따뜻하게 만들어 줘
86.wav,엔진 오일 언제 갈아야 좋아
87.wav,히터 전원 오프 해
88.wav,차를 찾아야겠으니 도와줘
89.wav,에어컨 두 시간 동안 설정 맞춰 줘
90.wav,현관문 열어 뒀던가요
91.wav,나 가스 안 끈 것 같아
92.wav,조수석에 누구 앉을 거니까 따뜻하게 틀어 놔
93.wav,연결된 전원 플러그 위치 알려 줘
94.wav,내 차 조수석에 열선 시트 켜 줄래
95.wav,보일러 가장 뜨겁게 부탁해
96.wav,보일러 온도 올려 줘야 해
97.wav,에어컨 이 단계 희망해요
98.wav,운전자 일 이름 말해 줘
99.wav,운전자 일 세팅 삭제 부탁해
100.wav,전 좌석에 좌석 열선 기능 켜 줄래
101.wav,모든 거실 등 기구 한 시간 후 전원 넣어 주세요
102.wav,전체 창문은 열어 두지 마
103.wav,히터 파워 오프
104.wav,바람을 아래로 해서 에어컨 움직여 줘
105.wav,조수석에 누구 앉으면 통풍 작동해 줘
106.wav,홈카메라 정확하게 어디 방에 있는지 확인해
107.wav,보일러 따뜻하게 온도 올려
108.wav,거실 전원 켜짐 타이머를 십 분 뒤에 실행해 줘
109.wav,홈카메라 저장 가능한 공간이 얼만큼인지 말해 줘
110.wav,운전자 홍길동 세팅 일 단계로 해 줘
111.wav,지금까지 주행거리 보면 엔진 오일 교체해야 하나
112.wav,차 좀 찾게 경적 소리 내 줄래
113.wav,선풍기 플러그가 끼워져 있는 위치가 어디야
114.wav,조수석 자리 열선 시트 켰어
115.wav,거실 조명 켜고 나왔어
116.wav,식료품 산 거 리스트 보여 줘
117.wav,히터 온도 훈훈하게 올려 줘요
